ID,Round_Numb,Year,Show,Date,Show_Round,Class_Short,Class Numb,Class_Round,Full_Group,Group_State,EA_Tot_Sc,EA_Tot_Rnk,MA_Tot_Sc,MA_Tot_Rnk,DA_Tot_Sc,DA_Tot_Rnk,Tot_GE_Sc,Tot_GE_Rnk,Subtot_Sc,Subtot_Rnk,Pen_Sc,Tot_Sc,Seed Score,Tot_Rnk,Ovr_Rnk,Attend,WC Round,Prv Class,Prv Attend,Prv WC Round,Prv Fin Score,Prv Fin Place,Fin Score,Fin Place,Finalist
598,3,2024,Mid East Power Regional,3/24/2024,Finals,SA,2,-,Lockport Township HS (IL),IL,17.84,1,18.23,3,18.2,1,37,1,91.27,1,0,91.27,91.27,1,1,1,3,2,1,3,84.41,19,96.21,2,1
599,3,2024,Mid East Power Regional,3/24/2024,Finals,SA,2,-,Kettering Fairmont HS (OH),OH,17.53,3,18.255,2,17.6,4,36.05,2,89.435,2,0,89.435,89.44,2,2,1,3,2,1,3,85.77,18,89.69,14,1
601,3,2024,Mid East Power Regional,3/24/2024,Finals,SA,2,-,Lafayette HS (KY),KY,17.61,2,17.605,4,17.9,2,35.05,4,88.165,4,0,88.165,88.17,4,4,1,3,2,1,2,83.82,47,90.635,10,1
603,3,2024,Mid East Power Regional,3/24/2024,Finals,SA,2,-,Adlai E. Stevenson HS (IL),IL,16.145,9,16.94,7,16.25,9,34.25,6,83.585,6,0,83.585,83.59,6,6,1,3,2,1,1,81.59,70,92.265,8,1
604,3,2024,Mid East Power Regional,3/24/2024,Finals,SA,2,-,Larry A Ryle HS (KY),KY,16.615,8,16.455,10,16.4,8,33.9,7,83.37,7,0,83.37,83.37,7,7,1,2,2,1,3,83.42,20,85.57,44,0
605,3,2024,Mid East Power Regional,3/24/2024,Finals,SA,2,-,Middletown HS (OH),OH,16.96,6,16.47,8,16.6,6,33.2,10,83.23,8,0,83.23,83.23,8,8,1,2,2,1,1,81.42,72,87.555,27,0
606,3,2024,Mid East Power Regional,3/24/2024,Finals,SA,2,-,Victor J. Andrew HS (IL),IL,16.14,10,16.465,9,16.5,7,33.25,9,82.355,9,0,82.355,82.36,9,9,1,2,2,1,1,77.16,97,85.645,37,0
607,3,2024,Mid East Power Regional,3/24/2024,Finals,SA,2,-,Franklin HS WG (OH),OH,16.64,7,16.955,6,16.15,10,32.6,11,82.345,10,0,82.345,82.35,10,10,1,2,2,1,2,85.09,35,86.725,30,0
608,3,2024,Mid East Power Regional,3/24/2024,Finals,SA,2,-,Worthington Kilbourne HS (OH),OH,15.935,11,16.37,11,16,11,33.35,8,81.655,11,0,81.655,81.66,11,11,1,2,2,1,3,89.925,11,87.295,29,0
609,3,2024,Mid East Power Regional,3/24/2024,Finals,IA,1,-,Indiana University (IN),IN,16.375,1,16.935,1,16.3,1,32.7,1,82.31,1,0,82.31,82.31,1,1,1,2,1,0,0,0,0,85.39,17,0
610,3,2024,Mid East Power Regional,3/24/2024,Finals,IA,1,-,Batavia Winterguard (NY),NY,16.14,2,16.835,2,16.15,3,32.6,2,81.725,2,0,81.725,81.73,2,2,1,2,1,0,0,0,0,84.32,32,0
611,3,2024,Mid East Power Regional,3/24/2024,Finals,IA,1,-,Forest Hills (OH),OH,15.735,3,16.46,3,16.2,2,32.35,3,80.745,3,0,80.745,80.75,3,3,1,2,1,0,0,0,0,83.38,36,0
612,3,2024,Mid East Power Regional,3/24/2024,Finals,SO,4,-,Centerville HS (OH),OH,17.45,1,17.65,1,17.35,1,34.85,1,87.3,1,0,87.3,87.30,1,1,1,3,4,1,3,94.6,4,94.55,2,1
613,3,2024,Mid East Power Regional,3/24/2024,Finals,SO,4,-,Northmont HS (OH),OH,17.15,3,17.25,3,17,2,34.65,2,86.05,2,0,86.05,86.05,2,2,1,3,4,1,3,89.1,8,91.65,5,1
614,3,2024,Mid East Power Regional,3/24/2024,Finals,SO,4,-,Noblesville HS (IN),IN,17.3,2,17.4,2,17,2,33.35,3,85.05,3,0,85.05,85.05,3,3,1,3,2,1,1,84.65,57,88,11,1
615,3,2024,Mid East Power Regional,3/24/2024,Finals,SO,4,-,Pendleton Heights HS (IN),IN,16.55,5,16.15,6,16.45,4,33,4,82.15,4,0,82.15,82.15,4,4,1,3,4,1,1,78.9,35,86.5,14,1
616,3,2024,Mid East Power Regional,3/24/2024,Finals,SO,4,-,Brownsburg HS (IN),IN,16.15,7,16.95,4,16.15,5,32.15,5,81.4,5,0,81.4,81.40,5,5,1,2,4,1,3,91.85,6,86,16,0
617,3,2024,Mid East Power Regional,3/24/2024,Finals,SO,4,-,Mason HS (OH),OH,16.3,6,16.5,5,15.55,6,32.05,6,80.4,6,0,80.4,80.40,6,6,1,3,2,1,3,94.445,4,89.7,8,1
618,3,2024,Mid East Power Regional,3/24/2024,Finals,SO,4,-,Franklin Central HS (IN),IN,16.65,4,15.85,7,15.55,6,31.6,7,79.65,7,0,79.65,79.65,7,7,1,2,4,1,3,82.85,14,82.6,24,0
619,3,2024,Mid East Power Regional,3/24/2024,Finals,SO,4,-,Lake Central HS (IN),IN,15.7,9,15.8,8,14.75,9,30.9,8,77.15,8,0,77.15,77.15,8,8,1,1,4,1,1,76.6,41,79.6,33,0
620,3,2024,Mid East Power Regional,3/24/2024,Finals,SO,4,-,Westfield HS (IN),IN,15.9,8,15.5,9,14.9,8,30.2,9,76.5,9,0,76.5,76.50,9,9,1,1,2,0,0,0,0,77.7,37,0
621,3,2024,Mid East Power Regional,3/24/2024,Finals,SO,4,-,Decatur Central HS (IN),IN,15.3,10,15.35,10,14.55,10,30.2,9,75.4,10,0,75.4,75.40,10,10,1,1,4,1,1,74.3,46,77,41,0
622,3,2024,Mid East Power Regional,3/24/2024,Finals,SO,4,-,Hamilton Southeastern HS (IN),IN,14.75,11,14.95,11,14.45,11,30.05,11,74.2,11,0,74.2,74.20,11,11,1,1,2,1,1,83.89,60,77.4,38,0
623,3,2024,Mid East Power Regional,3/24/2024,Finals,IO,3,-,La Voute Performance Ensemble (MO),MO,17.65,1,17.95,1,17.7,1,35.4,1,88.7,1,0,88.7,88.70,1,1,1,3,3,1,3,91.2,6,90.35,5,1
624,3,2024,Mid East Power Regional,3/24/2024,Finals,IO,3,-,Collage (OH),OH,17.1,4,17.7,2,17.35,2,34.85,2,87,2,0,87,87.00,2,2,1,3,1,1,3,92.615,4,92.25,4,1
